ローエングリン,シングスピール,In the Wings,Sadler's Wells,Northern Dancer
,,,,Fairy Bridge
,,,ハイホーク,Shirley Heights
,,,,Sunbittern
,,Glorious Song,Halo,Hail to Reason
,,,,Cosmah
,,,Ballade,Herbager
,,,,Miss Swapsco
,カーリング,Garde Royale,Mill Reef,Never Bend
,,,,Milan Mill
,,,Royal Way,Sicambre
,,,,Right Away
,,Corraleja,Carvin,マリーノ
,,,,Coraline
,,,Darling Dale,Tyrant
,,,,Treat
テイエムジャバラ,ネオユニヴァース,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ポインテッドパス,Kris,Sharpen Up
,,,,Doubly Sure
,,,Silken Way,Shantung
,,,,Boulevard
,モーニングタイド,Seeking the Gold,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Con Game,Buckpasser
,,,,Broadway
,,Eastern Dawn,Damascus,Sword Dancer
,,,,Kerala
,,,Euryanthe,Nijinsky
,,,,Quill
