オルフェーヴル,ステイゴールド,サンデーサイレンス,Halo,Hail to Reason
,,,,Cosmah
,,,Wishing Well,Understanding
,,,,Mountain Flower
,,ゴールデンサッシュ,ディクタス,Sanctus
,,,,Doronic
,,,ダイナサッシュ,ノーザンテースト
,,,,ロイヤルサッシュ
,オリエンタルアート,メジロマックイーン,メジロティターン,メジロアサマ
,,,,シエリル
,,,メジロオーロラ,リマンド
,,,,メジロアイリス
,,エレクトロアート,ノーザンテースト,Northern Dancer
,,,,Lady Victoria
,,,グランマスティーヴンス,Lt. Stevens
,,,,Dhow
クラシックローズ,コマンダーインチーフ,ダンシングブレーヴ,Lyphard,Northern Dancer
,,,,Goofed
,,,Navajo Princess,Drone
,,,,Olmec
,,Slightly Dangerous,Roberto,Hail to Reason
,,,,Bramalea
,,,Where You Lead,Raise a Native
,,,,Noblesse
,ロゼカラー,Shirley Heights,Mill Reef,Never Bend
,,,,Milan Mill
,,,Hardiemma,ハーディカヌート
,,,,Grand Cross
,,ローザネイ,Lyphard,Northern Dancer
,,,,Goofed
,,,Riviere Doree,Secretariat
,,,,Riverqueen
