ディープインパクト,サンデーサイレンス,Halo,Hail to Reason,Turn-to
,,,,Nothirdchance
,,,Cosmah,Cosmic Bomb
,,,,Almahmoud
,,Wishing Well,Understanding,Promised Land
,,,,Pretty Ways
,,,Mountain Flower,Montparnasse
,,,,Edelweiss
,ウインドインハーヘア,Alzao,Lyphard,Northern Dancer
,,,,Goofed
,,,Lady Rebecca,Sir Ivor
,,,,Pocahontas
,,Burghclere,Busted,Crepello
,,,,Sans le Sou
,,,Highclere,Queen's Hussar
,,,,Highlight
リラックススマイル,Dubai Destination,Kingmambo,Mr. Prospector,Raise a Native
,,,,Gold Digger
,,,Miesque,Nureyev
,,,,Pasadoble
,,Mysterial,Alleged,Hoist the Flag
,,,,Princess Pout
,,,Mysteries,Seattle Slew
,,,,Phydilla
,ヴェルヴェットクイーン,シングスピール,In the Wings,Sadler's Wells
,,,,ハイホーク
,,,Glorious Song,Halo
,,,,Ballade
,,Velvet Moon,シャーディー,Danzig
,,,,Unfurled
,,,Park Special,Relkino
,,,,Balilla
