日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2021/11/12,笠松,曇,7,楓葉賞,"

",9,7,7,66.7,7,5,"
森島貴之
",56,ダ1600,良,"

**

",1:48.5,4.0,"

**

",9-9-8,0.0-39.7,41.7,512(-5),"

 
","


 
",ツインシップ,1.6
2021/10/29,笠松,晴,8,秋時雨賞,"

",8,2,2,67.9,6,6,"
森島貴之
",56,ダ1400,良,"

**

",1:32.8,1.8,"

**

",7-5-4,0.0-39.5,40.4,517(+1),"

 
","


 
",パトローナム, 
2021/10/08,笠松,晴,9,五平餅賞,"

",8,1,1,31.9,5,6,"
森島貴之
",56,ダ1600,良,"

**

",1:47.6,3.0,"

**

",6-5-6,0.0-39.9,42.1,516(+3),"

 
","


 
",ナオアンドユリ, 
2021/09/07,大井,曇,7,1996日本初「馬単,"

",14,8,14,313.2,14,14,"
千田洋
",56,ダ1600,重,"

**

",1:48.4,5.4,"

**

",14-14-14-14,38.4-39.9,43.5,513(-3),"

 
","


 
",オルトスラッガー, 
2021/08/16,大井,曇,9,C1七　八九,"

",12,5,5,233.4,12,12,"
千田洋
",56,ダ1200,不,"

**

",1:17.1,2.9,"

**

",12-12,35.4-38.8,39.1,516(-1),"

 
","


 
",ラインギャラント, 
2021/08/03,大井,晴,9,C1七　八,"

",10,6,7,199.4,10,10,"
千田洋
",56,ダ1200,稍,"

**

",1:16.3,3.6,"

**

",9-9,35.7-37.0,39.0,517(-1),"

 
","


 
",ミスアニバーサリー, 
2021/06/30,大井,雨,8,C1四　五六,"

",14,7,11,270.3,12,14,"
千田洋
",56,ダ1400,重,"

**

",1:31.2,4.5,"

**

",14-14-13,36.3-38.2,40.2,518(-9),"

 
","


 
",ゴーザフォス, 
2021/03/15,船橋,晴,6,C1三　四五　ウ,"

",12,8,11,61.7,10,10,"
濱田達也
",56,ダ1200,稍,"

**

",1:16.6,2.2,"

**

",12-12-12,35.3-39.1,38.7,527(-2),"

 
","


 
",チェンジバイオ, 
2021/02/09,船橋,晴,6,C1二　三,"

",9,8,9,80.6,8,7,"
濱田達也
",56.5,ダ1200,良,"

**

",1:16.6,2.0,"

**

",7-7-7,37.0-37.6,38.8,529(+2),"

 
","


 
",バイカル, 
2021/01/12,船橋,小雨,9,スキースプリント,"

",11,8,11,38.5,10,10,"
濱田達也
",56.5,ダ1200,良,"

**

",1:17.2,2.7,"

**

",11-11-11,35.2-39.3,39.7,527(+12),"

 
","


 
",ハクユウラッキー, 
2020/08/04,船橋,晴,9,やまゆり賞,"

",9,8,9,19.8,4,7,"
濱田達也
",55,ダ1200,良,"

**

",1:15.1,1.3,"

**

",9-9-8,35.9-37.9,38.0,515(+2),"

 
","


 
",ケイアイスープラ, 
2020/07/21,船橋,曇,1,3歳　選抜馬,"

",5,5,5,1.1,1,1,"
濱田達也
",56,ダ1200,稍,"

**

",1:15.1,-0.3,"

**

",4-4-3,36.0-39.1,38.1,513(0),"

 
","


 
",(オーヴァル),160.0
2020/06/15,船橋,晴,1,3歳三　四,"

",10,7,7,2.2,1,1,"
濱田達也
",56,ダ1200,不,"

**

",1:16.1,-0.1,"

**

",10-10-10,36.1-40.0,38.1,513(-4),"

 
","


 
",(ハセノガール),150.0
2020/05/04,船橋,小雨,1,3歳三　四,"

",10,6,6,5.4,3,3,"
濱田達也
",56,ダ1200,稍,"

**

",1:15.1,1.0,"

**

",9-9-9,35.9-38.2,38.0,517(-5),"

 
","


 
",ビッグバンド,32.5
2020/03/31,船橋,曇,2,3歳五,"

",7,1,1,10.1,4,3,"
濱田達也
",56,ダ1200,重,"

**

",1:15.5,1.2,"

**

",3-3-3,37.0-37.3,38.2,522(+5),"

 
","


 
",サロルン,32.5
2020/03/11,船橋,晴,2,3歳三　四,"

",9,5,5,16.4,7,8,"
酒井忍
",56,ダ1500,重,"

**

",1:39.0,1.3,"

**

",8-8-8-8,31.5-40.5,39.6,517(+1),"

 
","


 
",エラボレート, 
2020/02/10,船橋,晴,6,3歳三　四,"

",6,4,4, , ,取,"
酒井忍
",56.5,ダ1500,良,"

**

", , ,"

**

", ,31.7-39.2, ,計不,"

 
","


 
",アマルインジャズ, 
2020/01/08,船橋,晴,5,国内シェアNo.1!,"

",9,1,1,5.0,3,5,"
酒井忍
",56.5,ダ1200,重,"

**

",1:16.8,0.8,"

**

",8-7-8,37.3-38.7,38.5,516(+1),"

 
","


 
",ストーミーラヴ,13.0
2019/12/12,船橋,晴,4,2歳七,"

",9,5,5,2.6,1,1,"
酒井忍
",55,ダ1200,稍,"

**

",1:15.9,-1.2,"

**

",1-1-1,36.3-39.6,39.6,515(+5),"

 
","


 
",(レニープリンス),140.0
2019/11/01,船橋,晴,2,ユーカリデビュー(新馬),"

",6,6,6,3.5,3,5,"
笹川翼
",55,ダ1000,重,"

**

",1:04.2,3.1,"

**

",3-3,36.2-37.0,39.9,510(0),"

 
","


 
",マーヴェルクエスト,27.0
